h0 [SinglePointCrossover,BitFlipMutation] 4064
h1 [SinglePointCrossover,LoopMoveOperator] 3928
h2 [SinglePointCrossover,LocalMoveOperator] 4023
h3 [SinglePointCrossover,SegmentMutation] 4097
h4 [SinglePointCrossover,OppositeMoveOperator] 3918
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 3917
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 4037
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 4053
h8 [IntegerTwoPointsCrossover,SegmentMutation] 3940
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 3984
h10 [MultiPointsCrossover,BitFlipMutation] 4017
h11 [MultiPointsCrossover,LoopMoveOperator] 4056
h12 [MultiPointsCrossover,LocalMoveOperator] 4004
h13 [MultiPointsCrossover,SegmentMutation] 4032
h14 [MultiPointsCrossover,OppositeMoveOperator] 3930
