h0 [SinglePointCrossover,BitFlipMutation] 3971
h1 [SinglePointCrossover,LoopMoveOperator] 4036
h2 [SinglePointCrossover,LocalMoveOperator] 4100
h3 [SinglePointCrossover,SegmentMutation] 4111
h4 [SinglePointCrossover,OppositeMoveOperator] 3882
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 4009
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 4012
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 4054
h8 [IntegerTwoPointsCrossover,SegmentMutation] 4049
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 4010
h10 [MultiPointsCrossover,BitFlipMutation] 4000
h11 [MultiPointsCrossover,LoopMoveOperator] 3874
h12 [MultiPointsCrossover,LocalMoveOperator] 3965
h13 [MultiPointsCrossover,SegmentMutation] 3902
h14 [MultiPointsCrossover,OppositeMoveOperator] 4025
