h0 [SinglePointCrossover,BitFlipMutation] 1942
h1 [SinglePointCrossover,LoopMoveOperator] 1882
h2 [SinglePointCrossover,LocalMoveOperator] 1968
h3 [SinglePointCrossover,SegmentMutation] 2018
h4 [SinglePointCrossover,OppositeMoveOperator] 1962
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 1961
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 2027
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 1924
h8 [IntegerTwoPointsCrossover,SegmentMutation] 1937
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 1992
h10 [MultiPointsCrossover,BitFlipMutation] 1959
h11 [MultiPointsCrossover,LoopMoveOperator] 1995
h12 [MultiPointsCrossover,LocalMoveOperator] 2019
h13 [MultiPointsCrossover,SegmentMutation] 2006
h14 [MultiPointsCrossover,OppositeMoveOperator] 1908
