h0 [SinglePointCrossover,BitFlipMutation] 4011
h1 [SinglePointCrossover,LoopMoveOperator] 3985
h2 [SinglePointCrossover,LocalMoveOperator] 4101
h3 [SinglePointCrossover,SegmentMutation] 4032
h4 [SinglePointCrossover,OppositeMoveOperator] 4001
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 4085
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 3910
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 4000
h8 [IntegerTwoPointsCrossover,SegmentMutation] 4013
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 4106
h10 [MultiPointsCrossover,BitFlipMutation] 3971
h11 [MultiPointsCrossover,LoopMoveOperator] 4008
h12 [MultiPointsCrossover,LocalMoveOperator] 3948
h13 [MultiPointsCrossover,SegmentMutation] 4034
h14 [MultiPointsCrossover,OppositeMoveOperator] 4095
