h0 [SinglePointCrossover,BitFlipMutation] 4108
h1 [SinglePointCrossover,LoopMoveOperator] 3847
h2 [SinglePointCrossover,LocalMoveOperator] 4062
h3 [SinglePointCrossover,SegmentMutation] 3913
h4 [SinglePointCrossover,OppositeMoveOperator] 3913
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 3991
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 4001
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 3809
h8 [IntegerTwoPointsCrossover,SegmentMutation] 3996
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 3969
h10 [MultiPointsCrossover,BitFlipMutation] 4061
h11 [MultiPointsCrossover,LoopMoveOperator] 3984
h12 [MultiPointsCrossover,LocalMoveOperator] 3977
h13 [MultiPointsCrossover,SegmentMutation] 3890
h14 [MultiPointsCrossover,OppositeMoveOperator] 3879
