h0 [SinglePointCrossover,BitFlipMutation] 1925
h1 [SinglePointCrossover,LoopMoveOperator] 1976
h2 [SinglePointCrossover,LocalMoveOperator] 1929
h3 [SinglePointCrossover,SegmentMutation] 1946
h4 [SinglePointCrossover,OppositeMoveOperator] 1970
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 1961
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 1993
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 1988
h8 [IntegerTwoPointsCrossover,SegmentMutation] 1931
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 2021
h10 [MultiPointsCrossover,BitFlipMutation] 1900
h11 [MultiPointsCrossover,LoopMoveOperator] 1953
h12 [MultiPointsCrossover,LocalMoveOperator] 2015
h13 [MultiPointsCrossover,SegmentMutation] 2052
h14 [MultiPointsCrossover,OppositeMoveOperator] 1940
