h0 [SinglePointCrossover,BitFlipMutation] 1926
h1 [SinglePointCrossover,LoopMoveOperator] 1963
h2 [SinglePointCrossover,LocalMoveOperator] 1992
h3 [SinglePointCrossover,SegmentMutation] 1989
h4 [SinglePointCrossover,OppositeMoveOperator] 1964
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 1960
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 2092
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 1991
h8 [IntegerTwoPointsCrossover,SegmentMutation] 1921
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 1972
h10 [MultiPointsCrossover,BitFlipMutation] 2038
h11 [MultiPointsCrossover,LoopMoveOperator] 1928
h12 [MultiPointsCrossover,LocalMoveOperator] 1937
h13 [MultiPointsCrossover,SegmentMutation] 1970
h14 [MultiPointsCrossover,OppositeMoveOperator] 2057
