h0 [SinglePointCrossover,BitFlipMutation] 2011
h1 [SinglePointCrossover,LoopMoveOperator] 1979
h2 [SinglePointCrossover,LocalMoveOperator] 2014
h3 [SinglePointCrossover,SegmentMutation] 1977
h4 [SinglePointCrossover,OppositeMoveOperator] 1900
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 1989
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 1969
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 1965
h8 [IntegerTwoPointsCrossover,SegmentMutation] 2013
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 2014
h10 [MultiPointsCrossover,BitFlipMutation] 2015
h11 [MultiPointsCrossover,LoopMoveOperator] 1957
h12 [MultiPointsCrossover,LocalMoveOperator] 2032
h13 [MultiPointsCrossover,SegmentMutation] 2012
h14 [MultiPointsCrossover,OppositeMoveOperator] 2003
