h0 [SinglePointCrossover,BitFlipMutation] 4132
h1 [SinglePointCrossover,LoopMoveOperator] 4024
h2 [SinglePointCrossover,LocalMoveOperator] 4103
h3 [SinglePointCrossover,SegmentMutation] 3989
h4 [SinglePointCrossover,OppositeMoveOperator] 4051
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 3986
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 3939
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 3943
h8 [IntegerTwoPointsCrossover,SegmentMutation] 4011
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 3988
h10 [MultiPointsCrossover,BitFlipMutation] 4042
h11 [MultiPointsCrossover,LoopMoveOperator] 3942
h12 [MultiPointsCrossover,LocalMoveOperator] 4006
h13 [MultiPointsCrossover,SegmentMutation] 4022
h14 [MultiPointsCrossover,OppositeMoveOperator] 4022
