h0 [SinglePointCrossover,BitFlipMutation] 4087
h1 [SinglePointCrossover,LoopMoveOperator] 4015
h2 [SinglePointCrossover,LocalMoveOperator] 4088
h3 [SinglePointCrossover,SegmentMutation] 4073
h4 [SinglePointCrossover,OppositeMoveOperator] 4127
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 3890
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 3929
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 4000
h8 [IntegerTwoPointsCrossover,SegmentMutation] 3976
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 3915
h10 [MultiPointsCrossover,BitFlipMutation] 4034
h11 [MultiPointsCrossover,LoopMoveOperator] 3892
h12 [MultiPointsCrossover,LocalMoveOperator] 3936
h13 [MultiPointsCrossover,SegmentMutation] 4019
h14 [MultiPointsCrossover,OppositeMoveOperator] 4019
