h0 [SinglePointCrossover,BitFlipMutation] 3969
h1 [SinglePointCrossover,LoopMoveOperator] 3993
h2 [SinglePointCrossover,LocalMoveOperator] 3986
h3 [SinglePointCrossover,SegmentMutation] 4116
h4 [SinglePointCrossover,OppositeMoveOperator] 4083
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 3986
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 3989
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 3956
h8 [IntegerTwoPointsCrossover,SegmentMutation] 4000
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 3930
h10 [MultiPointsCrossover,BitFlipMutation] 3972
h11 [MultiPointsCrossover,LoopMoveOperator] 3932
h12 [MultiPointsCrossover,LocalMoveOperator] 3988
h13 [MultiPointsCrossover,SegmentMutation] 4020
h14 [MultiPointsCrossover,OppositeMoveOperator] 4080
