h0 [SinglePointCrossover,BitFlipMutation] 1944
h1 [SinglePointCrossover,LoopMoveOperator] 2018
h2 [SinglePointCrossover,LocalMoveOperator] 1907
h3 [SinglePointCrossover,SegmentMutation] 2031
h4 [SinglePointCrossover,OppositeMoveOperator] 1948
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 1959
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 1971
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 1921
h8 [IntegerTwoPointsCrossover,SegmentMutation] 1953
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 1984
h10 [MultiPointsCrossover,BitFlipMutation] 1973
h11 [MultiPointsCrossover,LoopMoveOperator] 1911
h12 [MultiPointsCrossover,LocalMoveOperator] 2047
h13 [MultiPointsCrossover,SegmentMutation] 1959
h14 [MultiPointsCrossover,OppositeMoveOperator] 1974
