h0 [SinglePointCrossover,BitFlipMutation] 1975
h1 [SinglePointCrossover,LoopMoveOperator] 1960
h2 [SinglePointCrossover,LocalMoveOperator] 2022
h3 [SinglePointCrossover,SegmentMutation] 2010
h4 [SinglePointCrossover,OppositeMoveOperator] 1974
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 2018
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 1943
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 1879
h8 [IntegerTwoPointsCrossover,SegmentMutation] 1968
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 2048
h10 [MultiPointsCrossover,BitFlipMutation] 1979
h11 [MultiPointsCrossover,LoopMoveOperator] 1989
h12 [MultiPointsCrossover,LocalMoveOperator] 2049
h13 [MultiPointsCrossover,SegmentMutation] 1978
h14 [MultiPointsCrossover,OppositeMoveOperator] 1908
