h0 [SinglePointCrossover,BitFlipMutation] 3908
h1 [SinglePointCrossover,LoopMoveOperator] 3905
h2 [SinglePointCrossover,LocalMoveOperator] 4058
h3 [SinglePointCrossover,SegmentMutation] 4084
h4 [SinglePointCrossover,OppositeMoveOperator] 3997
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 4116
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 4012
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 3986
h8 [IntegerTwoPointsCrossover,SegmentMutation] 4040
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 3960
h10 [MultiPointsCrossover,BitFlipMutation] 3964
h11 [MultiPointsCrossover,LoopMoveOperator] 3976
h12 [MultiPointsCrossover,LocalMoveOperator] 4001
h13 [MultiPointsCrossover,SegmentMutation] 3956
h14 [MultiPointsCrossover,OppositeMoveOperator] 4037
