h0 [SinglePointCrossover,BitFlipMutation] 3971
h1 [SinglePointCrossover,LoopMoveOperator] 3964
h2 [SinglePointCrossover,LocalMoveOperator] 3950
h3 [SinglePointCrossover,SegmentMutation] 3993
h4 [SinglePointCrossover,OppositeMoveOperator] 4104
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 4055
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 3981
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 3971
h8 [IntegerTwoPointsCrossover,SegmentMutation] 3936
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 4037
h10 [MultiPointsCrossover,BitFlipMutation] 4082
h11 [MultiPointsCrossover,LoopMoveOperator] 3931
h12 [MultiPointsCrossover,LocalMoveOperator] 3975
h13 [MultiPointsCrossover,SegmentMutation] 4061
h14 [MultiPointsCrossover,OppositeMoveOperator] 3989
