h0 [SinglePointCrossover,BitFlipMutation] 1964
h1 [SinglePointCrossover,LoopMoveOperator] 2049
h2 [SinglePointCrossover,LocalMoveOperator] 1967
h3 [SinglePointCrossover,SegmentMutation] 1950
h4 [SinglePointCrossover,OppositeMoveOperator] 2017
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 2044
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 2057
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 1980
h8 [IntegerTwoPointsCrossover,SegmentMutation] 2019
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 1966
h10 [MultiPointsCrossover,BitFlipMutation] 1913
h11 [MultiPointsCrossover,LoopMoveOperator] 1968
h12 [MultiPointsCrossover,LocalMoveOperator] 1959
h13 [MultiPointsCrossover,SegmentMutation] 2014
h14 [MultiPointsCrossover,OppositeMoveOperator] 1983
