h0 [SinglePointCrossover,BitFlipMutation] 1967
h1 [SinglePointCrossover,LoopMoveOperator] 1968
h2 [SinglePointCrossover,LocalMoveOperator] 2046
h3 [SinglePointCrossover,SegmentMutation] 2016
h4 [SinglePointCrossover,OppositeMoveOperator] 2007
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 2002
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 1979
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 1967
h8 [IntegerTwoPointsCrossover,SegmentMutation] 2023
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 2018
h10 [MultiPointsCrossover,BitFlipMutation] 1939
h11 [MultiPointsCrossover,LoopMoveOperator] 2006
h12 [MultiPointsCrossover,LocalMoveOperator] 1884
h13 [MultiPointsCrossover,SegmentMutation] 1979
h14 [MultiPointsCrossover,OppositeMoveOperator] 1999
