h0 [SinglePointCrossover,BitFlipMutation] 3998
h1 [SinglePointCrossover,LoopMoveOperator] 4067
h2 [SinglePointCrossover,LocalMoveOperator] 4079
h3 [SinglePointCrossover,SegmentMutation] 4015
h4 [SinglePointCrossover,OppositeMoveOperator] 3897
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 4010
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 4034
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 3998
h8 [IntegerTwoPointsCrossover,SegmentMutation] 3980
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 3954
h10 [MultiPointsCrossover,BitFlipMutation] 4085
h11 [MultiPointsCrossover,LoopMoveOperator] 4060
h12 [MultiPointsCrossover,LocalMoveOperator] 4104
h13 [MultiPointsCrossover,SegmentMutation] 4003
h14 [MultiPointsCrossover,OppositeMoveOperator] 4016
