h0 [SinglePointCrossover,BitFlipMutation] 2006
h1 [SinglePointCrossover,LoopMoveOperator] 1969
h2 [SinglePointCrossover,LocalMoveOperator] 1970
h3 [SinglePointCrossover,SegmentMutation] 1931
h4 [SinglePointCrossover,OppositeMoveOperator] 2025
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 1955
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 1959
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 1955
h8 [IntegerTwoPointsCrossover,SegmentMutation] 1999
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 2088
h10 [MultiPointsCrossover,BitFlipMutation] 1961
h11 [MultiPointsCrossover,LoopMoveOperator] 1979
h12 [MultiPointsCrossover,LocalMoveOperator] 2011
h13 [MultiPointsCrossover,SegmentMutation] 1984
h14 [MultiPointsCrossover,OppositeMoveOperator] 2058
