h0 [SinglePointCrossover,BitFlipMutation] 1992
h1 [SinglePointCrossover,LoopMoveOperator] 1990
h2 [SinglePointCrossover,LocalMoveOperator] 2053
h3 [SinglePointCrossover,SegmentMutation] 1926
h4 [SinglePointCrossover,OppositeMoveOperator] 2001
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 2015
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 1907
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 1992
h8 [IntegerTwoPointsCrossover,SegmentMutation] 1982
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 1944
h10 [MultiPointsCrossover,BitFlipMutation] 2026
h11 [MultiPointsCrossover,LoopMoveOperator] 2025
h12 [MultiPointsCrossover,LocalMoveOperator] 1913
h13 [MultiPointsCrossover,SegmentMutation] 1971
h14 [MultiPointsCrossover,OppositeMoveOperator] 2013
