h0 [SinglePointCrossover,BitFlipMutation] 1914
h1 [SinglePointCrossover,LoopMoveOperator] 1941
h2 [SinglePointCrossover,LocalMoveOperator] 1960
h3 [SinglePointCrossover,SegmentMutation] 1927
h4 [SinglePointCrossover,OppositeMoveOperator] 1966
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 1916
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 1989
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 2056
h8 [IntegerTwoPointsCrossover,SegmentMutation] 1929
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 2025
h10 [MultiPointsCrossover,BitFlipMutation] 1898
h11 [MultiPointsCrossover,LoopMoveOperator] 2078
h12 [MultiPointsCrossover,LocalMoveOperator] 1965
h13 [MultiPointsCrossover,SegmentMutation] 1888
h14 [MultiPointsCrossover,OppositeMoveOperator] 2048
